perfume_id,item_name,brand,theme,note,perfumer,gender,tags,url
889072,"挪威心情 Moods Of Norway Disco Sunset Pour Homme, 2013",挪威心情,辛辣芳香调,"薄荷,苹果,粉红胡椒,肉桂,葡萄,麝香,零陵香豆,雪松",,,"水果,绿叶,麝香,甜",https://www.nosetime.com/889072-
161998,"K 混合魔术 哈亚特 Kemi Blending Magic Hayat, 2014",K 混合魔术,辛辣木质调,"苦橙,薰衣草,藏红花,小豆蔻,琥珀,肉桂,沉香(乌木),雪松,莎草,广藿香",Chris Maurice,,"木质,温暖辛辣,沉香,泥土",https://www.nosetime.com/161998-
245968,"梅尔 Mair Acqua Di Lusso, 2024",梅尔,水生花香调,"香柠檬,柠檬,小豆蔻,橙花,栀子花,茉莉,椰子,檀香木,香草",,,"白花,柑橘,甜",https://www.nosetime.com/245968-
335908,菲奥雷 In Fiore Kashmir,菲奥雷,芳香木质调,"广藿香,橙花油,檀香木",Julie Elliott,,"木质,广藿香,温暖辛辣,树脂",https://www.nosetime.com/335908-
146612,"Khadlaj Perfumes  Khadlaj Perfumes Nuha, 2023",Khadlaj Perfumes,,"椰子,苹果,天芥菜,茉莉,玫瑰,香草,檀香木,开司米酮,天芥菜,茉莉,玫瑰,香草,檀香木,开司米酮,香草,檀香木,开司米酮",,,"香草,脂粉,椰子,木质",https://www.nosetime.com/146612-
194167,"Levada Perfume  Levada Perfume Цветок Саган-Дайля (Sagan-Dayla Flower), 2023",Levada Perfume,花香调,"橙子,青柠,西伯利亚杜鹃,蜂蜜,黑加仑,零陵香豆,雪松,苦配巴香脂,西伯利亚杜鹃,蜂蜜,黑加仑,零陵香豆,雪松,苦配巴香脂,零陵香豆,雪松,苦配巴香脂",,,"东方,柑橘,甜,蜂蜜",https://www.nosetime.com/194167-
268345,"De Dallad Perfumes Olfactive Galleries  De Dallad Perfumes Olfactive Galleries Evening Chess, 2023",De Dallad Perfumes Olfactive Galleries,辛辣木质调,"香柠檬,芫荽,榄香脂,生姜,橙子,迷迭香,艾草,小豆蔻,肉豆蔻,零陵香豆,广藿香,劳丹脂,雪松,愈创木,香根草,迷迭香,艾草,小豆蔻,肉豆蔻,零陵香豆,广藿香,劳丹脂,雪松,愈创木,香根草,广藿香,劳丹脂,雪松,愈创木,香根草",,,"芳香植物,木质,清新辛辣,温暖辛辣",https://www.nosetime.com/268345-
712516,"妙巴黎 男士 Bourjois Or Masculin, 1976",妙巴黎,芳香柑橘调,"罗勒,香柠檬,橘子,柠檬,檀香木,广藿香,芫荽,茉莉,琥珀,橡木苔,麝香",,,"木质,芳香植物,柑橘,脂粉",https://www.nosetime.com/712516-
322664,莫娜斯特瑞 Ai Monasteri Profumo al Limone,莫娜斯特瑞,,,,,,https://www.nosetime.com/322664-
441121,"Brumee Cedar Wood + Vanilla, 2021",Brumee,芳香木质调,"橙子,茉莉,橘子,广藿香,玫瑰,香草,香根草,藻类",,,"香草,柑橘,木质,白花",https://www.nosetime.com/441121-
